threshold,accuracy,scam_precision,scam_recall,scam_f1
0.1,0.9275,0.6552,0.9913,0.7889
0.11,0.9417,0.7037,0.9913,0.8231
0.12,0.9477,0.7261,0.9913,0.8382
0.13,0.9524,0.7451,0.9913,0.8507
0.14,0.9584,0.774,0.9826,0.8659
0.15,0.962,0.7943,0.9739,0.875
0.16,0.962,0.7943,0.9739,0.875
0.17,0.9631,0.8,0.9739,0.8784
0.18,0.9643,0.8058,0.9739,0.8819
0.19,0.9691,0.8296,0.9739,0.896
0.2,0.9691,0.8346,0.9652,0.8952
0.21,0.9703,0.8409,0.9652,0.8988
0.22,0.975,0.8672,0.9652,0.9136
0.23,0.9762,0.874,0.9652,0.9174
0.24,0.9774,0.881,0.9652,0.9212
0.25,0.9786,0.888,0.9652,0.925
0.26,0.9798,0.9016,0.9565,0.9283
0.27,0.9798,0.9016,0.9565,0.9283
0.28,0.981,0.9091,0.9565,0.9322
0.29,0.981,0.9091,0.9565,0.9322
0.3,0.9834,0.9244,0.9565,0.9402
0.31,0.9845,0.9322,0.9565,0.9442
0.32,0.9845,0.9322,0.9565,0.9442
0.33,0.9845,0.9322,0.9565,0.9442
0.34,0.9845,0.9322,0.9565,0.9442
0.35,0.9857,0.9402,0.9565,0.9483
0.36,0.9857,0.9402,0.9565,0.9483
0.37,0.9857,0.9402,0.9565,0.9483
0.38,0.9857,0.9402,0.9565,0.9483
0.39,0.9869,0.9483,0.9565,0.9524
0.4,0.9869,0.9483,0.9565,0.9524
0.41,0.9869,0.9483,0.9565,0.9524
0.42,0.9881,0.9565,0.9565,0.9565
0.43,0.9881,0.9565,0.9565,0.9565
0.44,0.9881,0.9565,0.9565,0.9565
0.45,0.9881,0.9565,0.9565,0.9565
0.46,0.9881,0.9565,0.9565,0.9565
0.47,0.9881,0.9565,0.9565,0.9565
0.48,0.9881,0.9565,0.9565,0.9565
0.49,0.9881,0.9565,0.9565,0.9565
0.5,0.9881,0.9565,0.9565,0.9565
0.51,0.9869,0.9561,0.9478,0.952
0.52,0.9893,0.9732,0.9478,0.9604
0.53,0.9893,0.9732,0.9478,0.9604
0.54,0.9893,0.9732,0.9478,0.9604
0.55,0.9905,0.982,0.9478,0.9646
0.56,0.9905,0.982,0.9478,0.9646
0.57,0.9905,0.982,0.9478,0.9646
0.58,0.9905,0.982,0.9478,0.9646
0.59,0.9905,0.982,0.9478,0.9646
0.6,0.9905,0.982,0.9478,0.9646
0.61,0.9905,0.982,0.9478,0.9646
0.62,0.9905,0.982,0.9478,0.9646
0.63,0.9905,0.982,0.9478,0.9646
0.64,0.9893,0.9818,0.9391,0.96
0.65,0.9905,0.9908,0.9391,0.9643
0.66,0.9893,0.9907,0.9304,0.9596
0.67,0.9893,0.9907,0.9304,0.9596
0.68,0.9893,0.9907,0.9304,0.9596
0.69,0.9881,0.9907,0.9217,0.955
0.7,0.9881,0.9907,0.9217,0.955
0.71,0.9881,0.9907,0.9217,0.955
0.72,0.9869,0.9906,0.913,0.9502
0.73,0.9869,0.9906,0.913,0.9502
0.74,0.9869,0.9906,0.913,0.9502
0.75,0.9869,0.9906,0.913,0.9502
0.76,0.9857,0.9905,0.9043,0.9455
0.77,0.9857,0.9905,0.9043,0.9455
0.78,0.9857,0.9905,0.9043,0.9455
0.79,0.9857,0.9905,0.9043,0.9455
0.8,0.9857,0.9905,0.9043,0.9455
0.81,0.9857,0.9905,0.9043,0.9455
0.82,0.9857,0.9905,0.9043,0.9455
0.83,0.9845,0.9904,0.8957,0.9406
0.84,0.981,0.9901,0.8696,0.9259
0.85,0.981,0.9901,0.8696,0.9259
0.86,0.9798,0.99,0.8609,0.9209
0.87,0.9798,0.99,0.8609,0.9209
0.88,0.9798,0.99,0.8609,0.9209
0.89,0.9786,0.9899,0.8522,0.9159
0.9,0.9774,0.9898,0.8435,0.9108
0.91,0.9762,0.9897,0.8348,0.9057
0.92,0.9738,0.9895,0.8174,0.8952
0.93,0.9703,0.9891,0.7913,0.8792
0.94,0.9679,0.9889,0.7739,0.8683
0.95,0.9667,1.0,0.7565,0.8614
