text,label
leave it. u will always be ignorant.,0
still in customer place,0
"sorry, i'll call later",0
ya had just now.onion roast.,0
"i'd say that's a good sign but, well, you know my track record at reading women",0
the length is e same but e top shorter n i got a fringe now. i thk i'm not going liao. too lazy. dun wan 2 distract u also.,0
"yalru lyfu astne chikku.. bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-d",0
only once then after ill obey all yours.,0
we left already we at orchard now.,0
no. 1 nokia tone 4 ur mob every week! just txt nok to 87021. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info,1
ok then u tell me wat time u coming later lor.,0
i take it the post has come then! you must have 100s of texts now! happy reading. my one from wiv hello caroline at the end is my favourite. bless him,0
oops my phone died and i didn't even know. yeah i like it better.,0
wanna have a laugh? try chit-chat on your mobile now! logon by txting the word: chat and send it to no: 883 cm po box 4217 london w1a 6zf 16+ 118p/msg rcvd,1
its ok..come to my home it vl nice to meet and v can chat..,0
lol yep did that yesterday. already got my fireplace. now its just another icon sitting there for me.,0
then ü ask dad to pick ü up lar.. ü wan 2 stay until 6 meh..,0
aaooright are you at work?,0
"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a <amount> bonus prize, call <phone>",1
i wont. so wat's wit the guys,0
ok.. but they said i've got wisdom teeth hidden inside n mayb need 2 remove.,0
you dont know you jabo me abi.,0
here got ur favorite oyster.. n got my favorite sashimi.. ok lar i dun say already.. wait ur stomach start rumbling..,0
"sir, i am waiting for your mail.",0
prepare to be pounded every night..,0
nah im goin 2 the wrks with j wot bout u?,0
i am taking you for italian food. how about a pretty dress with no panties? :),0
natalja (25/f) is inviting you to be her friend. reply yes-440 or no-440 see her: ww.sms.ac/u/nat27081980 stop? send stop frnd to 62468,1
our mobile number has won <amount> to claim calls us back or ring the claims hot line on <phone> .,1
your pussy is perfect!,0
"i keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and i'm all ""oh""",0
well. you know what i mean. texting,0
any pain on urination any thing else?,0
ello babe u ok?,0
"idk. you keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. and i'm tired. i have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",0
ur awarded a city break and could win a <amount> summer shopping spree every wk. txt store to 88039 . skilgme. tscs <phone> winawk!age16 <amount> perwksub,1
dont make ne plans for nxt wknd coz she wants us to come down then ok,0
can do lor..,0
we not leaving yet. ok lor then we go elsewhere n eat. u thk..,0
free entry into our <amount> weekly comp just send the word enter to 84128 now. 18 t&c ww.textcomp.com cust care <phone> .,1
"i can. but it will tell quite long, cos i haven't finish my film yet..",0
i'm e person who's doing e sms survey..,0
2p per min to call germany <phone> from your bt line. just 2p per min. check planettalkinstant.com for info & t's & c's. text stop to opt out,1
doing my masters. when will you buy a bb cos i have for sale and how's bf,0
discussed with your mother ah?,0
hey loverboy! i love you !! i had to tell .. i look at your picture and ache to feel you between my legs .. fuck i want you .. i need you .. i crave you .,0
"thk shld b can.. ya, i wana go 4 lessons.. haha, can go for one whole stretch..",0
"hmm.. mayb can try e shoppin area one, but forgot e name of hotel..",0
i have to take exam with in march 3,0
i hope you arnt pissed off but id would really like to see you tomorrow. love me xxx,0
what to think no one saying clearly. ok leave no need to ask her. i will go if she come or not,0
"i don't think i can get away for a trek that long with family in town, sorry",0
jus finish blowing my hair. u finish dinner already?,0
match started.india &lt;#&gt; for 2,0
"freemsg hey u, i just got 1 of these video/pic fones, reply wild to this txt & ill send u my pics, hurry up im so bored at work xx (18 150p/rcvd stop2stop)",1
no objection. my bf not coming.,0
hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,0
"spoke with uncle john today. he strongly feels that you need to sacrifice to keep me here. he's going to call you. when he does, i beg you to just listen. dont make any promises or make it clear things are not easy. and i need you to please let us work things out. as long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",0
"sorry, i'll call later",0
r we going with the &lt;#&gt; bus?,0
there is no sense in my foot and penis.,0
jos ask if u wana meet up?,0
she.s good. she was wondering if you wont say hi but she.s smiling now. so how are you coping with the long distance,0
"all the lastest from stereophonics, marley, dizzee racal, libertines and the strokes! win nookii games with flirt!! click themob wap bookmark or text wap to 82468",1
you call him now ok i said call him,0
happy new year my dear brother. i really do miss you. just got your number and decided to send you this text wishing you only happiness. abiola,0
"okay, good, no problem, and thanx!",0
anyway i'm going shopping on my own now. cos my sis not done yet. dun disturb u liao.,0
k:)k:)what are detail you want to transfer?acc no enough?,0
i'm really sorry i lit your hair on fire,0
what happen dear. why you silent. i am tensed,0
"i call you later, don't have network. if urgnt, sms me.",0
"sorry, i can't help you on this.",0
whos this am in class:-),0
if anyone calls for a treadmill say you'll buy it. make sure its working. i found an ad on craigslist selling for $ &lt;#&gt; .,0
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on <phone>,1
well i wasn't available as i washob nobbing with last night so they had to ask nickey platt instead of me!;,0
fine am simply sitting.,0
as in different styles?,0
then we gotta do it after that,0
"good afternon, my love. how are today? i hope your good and maybe have some interviews. i wake and miss you babe. a passionate kiss from across the sea",0
just normal only here :),0
call from <phone> - tells u 2 call <phone> to claim <amount> prize. u have 2 enter all ur mobile & personal details @ the prompts. careful!,1
more people are dogging in your area now. call <phone> and join like minded guys. why not arrange 1 yourself. there's 1 this evening. a <amount> minapn ls278bb,1
"oh mr sheffield! you wanna play that game, okay. you're the boss and i'm the nanny. you give me a raise and i'll give you one!!",0
send me your id and password,0
"i'm in a meeting, call me later at",0
i have a sore throat. it's scratches when i talk,0
u r too much close to my heart. if u go away i will be shattered. plz stay with me.,0
you are right though. i can't give you the space you want and need. this is really starting to become an issue. i was going to suggest setting a definite move out--if i'm still there-- after greece. but maybe you are ready and should do it now.,0
thanks for yesterday sir. you have been wonderful. hope you enjoyed the burial. mojibiola,0
he says hi and to get your ass back to south tampa (preferably at a kegger),0
ok not a problem will get them a taxi. c ing tomorrow and tuesday. on tuesday think we r all going to the cinema.,0
mm umma ask vava also to come tell him can play later together,0
yes but can we meet in town cos will go to gep and then home. you could text at bus stop. and don't worry we'll have finished by march .. ish!,0
wat time r ü going to xin's hostel?,0
"dear, take care. i am just reaching home.love u a lot.",0
bloomberg -message center <phone> why wait? apply for your future <url> bloomberg.com,1
there are no other charges after transfer charges and you can withdraw anyhow you like,0
"sir, good morning. hope you had a good weekend. i called to let you know that i was able to raise &lt;#&gt; from my dad. he however said he would make the rest available by mid feb. this amount is still quite short and i was hoping you would help. do have a good day. abiola",0
once free call me sir.,0
"kate jackson rec center before 7ish, right?",0
oh oh.. den muz change plan liao.. go back have to yan jiu again..,0
:-) :-),0
hey mate! hows u honey?did u ave good holiday? gimmi de goss!x,0
si si. i think ill go make those oreo truffles.,0
"hi chikku, send some nice msgs",0
i always chat with you. in fact i need money can you raise me?,0
"""gran onlyfound out afew days ago.cusoon honi""",0
tell me again what your address is,0
"had your mobile 10 mths? update to the latest camera/video phones for free. keep ur same number, get extra free mins/texts. text yes for a call",1
&lt;#&gt; w jetton ave if you forgot,0
"good! no, don‘t need any receipts—well done! (..) yes, please tell . what‘s her number, i could ring her",0
where do you need to go to get it?,0
these won't do. have to move on to morphine,0
good morning my dear.. have a great &amp; successful day.,0
hello peach! my cake tasts lush!,0
