text,label
but pls dont play in others life.,0
u still going to the mall?,0
"awesome, i'll see you in a bit",0
just buy a pizza. meat lovers or supreme. u get to pick.,0
jay's getting really impatient and belligerent,0
good day to you too.pray for me.remove the teeth as its painful maintaining other stuff.,0
"sorry im getting up now, feel really bad- totally rejected that kinda me thing.",0
my sister got placed in birla soft da:-),0
usps: we tried to deliver your parcel today but no one was home. confirm your address at <url> within 24 hours.,1
"almost there, see u in a sec",0
meta support: your instagram account will be deleted in 24 hours due to copyright violation. appeal here: <url>,1
you are now unsubscribed all services. get tons of sexy babes or hunks straight to your phone! go to <url> no subscriptions.,1
"total disappointment, when i texted you was the craziest shit got :(",0
i think chennai well settled?,0
"by march ending, i should be ready. but will call you for sure. the problem is that my capital never complete. how far with you. how's work and the ladies",0
oh yeah clearly it's my fault,0
"i am late,so call you tomorrow morning.take care sweet dreams..u and me..ummifying..bye.",0
no need to ke qi.. ü too bored izzit y suddenly thk of this..,0
"he will, you guys close?",0
if you're not in my car in an hour and a half i'm going apeshit,0
* thought i didn't see you.,0
do u knw dis no. &lt;#&gt; ?,0
camera - you are awarded a sipix digital camera! call <phone> fromm landline. delivery within 28 days.,1
oh thats late! well have a good night and i will give u a call tomorrow. iam now going to go to sleep night night,0
hey.. very inconvenient for your sis a not huh?,0
hi. customer loyalty offer:the new nokia6650 mobile from only <amount> at txtauction! txt word: start to no: 81151 & get yours now! 4t&ctxt tc 150p/mtmsg,1
"i thought i'd get him a watch, just cos thats the kind of thing u get4an18th. and he loves so much!",0
"feb &lt;#&gt; is ""i love u"" day. send dis to all ur ""valued frnds"" evn me. if 3 comes back u'll gt married d person u luv! if u ignore dis u will lose ur luv 4 evr",0
"get 3 lions england tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 ww. <url> the original n best. tones 3gbp network operator rates apply.",1
"a few people are at the game, i'm at the mall with iouri and kaila",0
dear voucher holder 2 claim your 1st class airport lounge passes when using your holiday voucher call <phone> . when booking quote 1st class x 2,1
ok give me 5 minutes i think i see her. btw you're my alibi. you were cutting my hair the whole time.,0
cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,0
i finished my lunch already. u wake up already?,0
might ax well im there.,0
sexy singles are waiting for you! text your age followed by your gender as wither m or f e.g.23f. for gay men text your age followed by a g. e.g.23g.,1
in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for. gudni8,0
morning only i can ok.,0
"""er, enjoyin indians at the mo..yep. sall good hehe ;> hows bout u shexy? pete xx""",0
yeah that'd pretty much be the best case scenario,0
i have to take exam with march 3,0
mm you ask him to come its enough :-),0
great! i hope you like your man well endowed. i am &lt;#&gt; inches..,0
even my brother is not like to speak with me. they treat me like aids patent.,0
urgent! we are trying to contact u. todays draw shows that you have won a <amount> prize guaranteed. call <phone> from land line. claim a21. valid 12hrs only,1
boo. how's things? i'm back at home and a little bored already :-(,0
you can never do nothing,0
"this is one of the days you have a billion classes, right?",0
k..k..i'm also fine:)when will you complete the course?,0
hey sexy buns! what of that day? no word from you this morning on ym .. :-( .. i think of you,0
s.i'm watching it in live..,0
well that must be a pain to catch,0
"well the weather in cali's great. but its complexities are great. you need a car to move freely, its taxes are outrageous. but all in all its a great place. the sad part is i missing home.",0
you still around? looking to pick up later,0
no da if you run that it activate the full version da.,0
"ha ha nan yalrigu heltini..iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. if ur trusting me so much how can i tell these to others.. plz nxt time dont use those words to me..ok, chikku:-);-)b-)",0
"it's wylie, you in tampa or sarasota?",0
give me a sec to think think about it,0
pls accept me for one day. or am begging you change the number.,0
how tall are you princess?,0
double your mins & txts on orange or 1/2 price linerental - motorola and sonyericsson with b/tooth free-nokia free call mobileupd8 on <phone> or2optout/hv9d,1
"night night, see you tomorrow",0
i reach home safe n sound liao..,0
lovely smell on this bus and it ain't tobacco..,0
"its so common hearin how r u? wat r u doing? how was ur day? so let me ask u something different. did u smile today? if not, do it now.. gud evng.",0
ü dun wan to watch infernal affair?,0
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs ww.ldew.com1win150ppmx3age16,1
waat?? lololo ok next time then!,0
"yes, princess. toledo.",0
i love ya too but try and budget your money better babe. gary would freak on me if he knew,0
"party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",0
ur cash-balance is currently <amount> - to maximize ur cash-in now send go to 86688 only 150p/msg. cc: <phone> po box 114/14 tcr/w1,1
i'll probably be around mu a lot,0
i am late. i will be there at,0
join the uk's horniest dogging service and u can have sex 2nite!. just sign up and follow the instructions. txt entry to 6988 now! nyt.ec2a.3lp.msg@150p,1
"storming msg: wen u lift d phne, u say ""hello"" do u knw wt is d real meaning of hello?? . . . it's d name of a girl..! . . . yes.. and u knw who is dat girl?? ""margaret hello"" she is d girlfrnd f grahmbell who invnted telphone.. . . . . moral:one can 4get d name of a person, bt not his girlfrnd.. g o o d n i g h t . . .@",0
babe ? i lost you .. :-(,0
"its ok, called mom instead have fun",0
and smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you .. *grins*,0
were trying to find a chinese food place around here,0
"had your contract mobile 11 mnths? latest motorola, nokia etc. all free! double mins & text on orange tariffs. text yes for callback, no to remove from records",1
"""urgent! this is the 2nd attempt to contact u!u have won <amount> call <phone> b4 300603t&csbcm4235wc1n3xx.callcost150ppmmobilesvary. max <amount> . 50""",1
"k, text me when you're on the way",0
still chance there. if you search hard you will get it..let have a try :),0
hope this text meets you smiling. if not then let this text give you a reason to smile. have a beautiful day.,0
i'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,0
also tell him i said happy birthday,0
i think that tantrum's finished so yeah i'll be by at some point,0
so no messages. had food?,0
oh k..i'm watching here:),0
do you always celebrate ny's with your family ?,0
oh.. kay.. on sat right?,0
"yeah sure, give me a couple minutes to track down my wallet",0
hi:)did you asked to waheeda fathima about leave?,0
it's ok i noe u're busy but i'm really too bored so i msg u. i oso dunno wat colour she choose 4 me one.,0
hi neva worry bout da truth coz the truth will lead me 2 ur heart. its the least a unique person like u deserve. sleep tight or morning,0
"evry emotion dsn't hav words.evry wish dsn't hav prayrs.. if u smile,d world is wit u.othrwise even d drop of tear dsn't lik 2 stay wit u.so b happy.. good morning, keep smiling:-)",0
no 1 polyphonic tone 4 ur mob every week! just txt pt2 to 87575. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info,1
"it‘s <amount> to get in, is that ok?",0
ps u no ur a grown up now right?,0
nope. i just forgot. will show next week,0
"that's the trouble with classes that go well - you're due a dodgey one .. expecting mine tomo! see you for recovery, same time, same place",0
stop the story. i've told him i've returned it and he's saying i should not re order it.,0
"aight, can you text me the address?",0
please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve..i already see in net..no ticket available..i want to book ticket through tackle ..,0
what is your record for one night? :),0
thanks for the vote. now sing along with the stars with karaoke on your mobile. for a free link just reply with sing now.,1
when are you going to ride your bike?,0
"thanks for your ringtone order, reference number x29. your mobile will be charged 4.50. should your tone not arrive please call customer services <phone>",1
"congratulations - thanks to a good friend u have won the <amount> xmas prize. 2 claim is easy, just call <phone> now! only 10p per minute. bt-national-rate",1
free entry in 2 a weekly comp for a chance to win an ipod. txt pod to 80182 to get entry (std txt rate) t&c's apply <phone> for details 18+,1
this is hoping you enjoyed your game yesterday. sorry i've not been in touch but pls know that you are fondly bein thot off. have a great week. abiola,0
u horrible gal.. u knew dat i was going out wif him yest n u still come n ask me..,0
dear 0776xx u've been invited to xchat. this is our final attempt to contact u! txt chat to 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18yrs,1
i've told you everything will stop. just dont let her get dehydrated.,0
please sen :)my kind advice :-)please come here and try:-),0
oh yeah! and my diet just flew out the window,0
free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates. ww. <url> pobox 36504 w45wq 16+ norm150p/tone,1
i re-met alex nichols from middle school and it turns out he's dealing!,0
i'm thinking that chennai forgot to come for auction..,0
will ü b going to esplanade fr home?,0
"hey babe, sorry i didn't get sooner. gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a ptbo and he says it will cost &lt;#&gt; bucks. i don't know if it might be cheaper to find someone there ? we don't have any second hand machines at all right now, let me know what you want to do babe",0
already am squatting is the new way of walking,0
waiting in e car 4 my mum lor. u leh? reach home already?,0
but i haf enuff space got like 4 mb..,0
